('16', '10G-EPON')
('19', '10PASS-TS')
('26', '12th Computer Olympiad')
('33', '18-bit')
('53', '2-XL')
('54', '2-choice hashing')
('59', '20-GATE')
('71', '24-bit')
('75', '26-bit')
('101', '360voice')
('104', '386BSD')
('110', '3Com Audrey')
('125', '3D Pose Estimation')
('131', '3D computer graphics software')
('139', '3D single object recognition')
('153', '3dvia')
('159', '4-bit')
('165', '4CAPS')
('183', '64-bit')
('189', '6in4')
('196', '8-bit')
('203', '8A4 class ROUV')
('204', '8BF')
('214', 'A* search algorithm')
('222', 'A. Richard Newton')
('226', 'A/UX')
('227', 'A20 line')
('228', 'A2100')
('232', 'A86 (software)')
('244', 'AA tree')
('258', 'ABINIT')
('260', 'ABLE (programming language)')
('263', 'ABSYS')
('267', 'AC0')
('268', 'AC/AC converter')
('273', 'ACCESS.bus')
('289', 'ACM Computing Classification System')
('292', 'ACM Crossroads')
('295', 'ACM International Collegiate Programming Contest')
('297', 'ACM Portal')
('299', 'ACM SIGACT')
('300', 'ACM SIGGRAPH')
('308', 'ACORD')
('317', 'AD-AS model')
('321', 'ADAPA')
('352', 'AGRICOLA')
('357', 'AI@50')
('358', 'AIBO')
('369', 'AI Shogi 3')
('372', 'AJAX.OOP')
('374', 'AKARI Project')
('379', 'ALCOR')
('382', 'ALGO')
('385', 'ALGOL 60')
('390', 'ALGOL 68S')
('395', 'ALGOL Y')
('402', 'ALynx')
('416', 'AMPL')
('420', 'AMSRefs')
('428', 'AN/FSQ-31V')
('447', 'ANIMAL (image processing)')
('450', 'ANOVA-simultaneous component analysis')
('452', 'ANSI/ISO C Specification Language')
('455', 'ANSI art')
('467', 'AOL Radio')
('474', 'APC Smart-UPS')
('481', 'APLX')
('482', 'APL (codepage)')
('494', 'ARACNE')
('500', 'ARIA (cipher)')
('503', 'ARITH-MATIC')
('505', 'ARKive')
('506', 'ARLOGO')
('507', 'ARM11')
('509', 'ARM9')
('527', 'ART image file format')
('530', 'ARX (operating system)')
('532', 'ARts')
('537', 'AS2')
('540', 'AS9100')
('549', 'ASCII art')
('560', 'ASEA IRB')
('572', 'ASTAR')
('588', 'ATI Technologies')
('590', 'ATI XGP')
('610', 'AUSM')
('617', 'AVG Technologies')
('647', 'A Sharp (.NET)')
('648', 'A Sharp (Axiom)')
('663', 'Aaron Doral')
('672', 'Abated')
('686', 'Ability Online')
('687', 'Ability Plus')
('690', 'Ablative case')
('696', 'About Time (book)')
('698', 'Aboutness')
('700', 'Abraham H Oort')
('703', 'Abramowitz and Stegun')
('708', 'Absolute Debugger')
('767', 'Accent (programming language)')
('773', 'Access-eGov')
('785', 'Access control vestibule')
('788', 'Access structure')
('789', 'Access token')
('803', 'Accounting method')
('808', 'Accuracy paradox')
('816', 'Ackermann function')
('817', 'Acklam Grange Secondary School')
('818', 'Acknowledgment (creative arts)')
('854', 'ActivMedia Robotics')
('864', 'ActiveVideo Networks')
('865', 'ActiveX Document')
('875', 'Active database')
('897', 'Activity diagram')
('898', 'Activity recognition')
('908', 'Actor model and process calculi')
('921', 'Acunetix')
('925', 'AdChina')
('927', 'AdSense')
('930', 'AdaBoost')
('938', 'Ada Semantic Interface Specification')
('955', 'Adaptive-additive algorithm')
('956', 'Adaptive Behavior')
('988', 'Adaptive sort')
('1007', 'Address Range Registers')
('1009', 'Address bus')
('1015', 'Address space layout randomization')
('1023', 'Adiabatic quantum computation')
('1029', 'Adjoint state method')
('1030', 'Adjunction space')
('1034', 'Adjustment handles')
('1036', 'Adminer')
('1043', 'Admissible heuristic')
('1046', 'Admon')
('1055', 'Adobe Director')
('1059', 'Adobe Flash')
('1060', 'Adobe GoLive')
('1062', 'Adobe Illustrator Artwork')
('1067', 'Adobe Persuasion')
('1069', 'Adobe Photoshop')
('1070', 'Adobe Photoshop Elements')
('1091', 'Advance Passenger Information System')
('1093', 'Advance parole')
('1095', 'Advanced 365')
('1104', 'Advanced Computing Environment')
('1114', 'Advanced Load Address Table')
('1124', 'Advanced RISC Computing')
('1127', 'Advanced Simulation and Computing Program')
('1129', 'Advanced Tactical Center')
('1131', 'Advanced Technology Leisure Application Simulator')
('1139', 'Advanced process control')
('1148', 'Adversary model')
('1155', 'Aerial video')
('1173', 'Affinity mask')
('1174', 'Affix grammar')
('1186', 'African Studies Quarterly')
('1215', 'Ageometresia')
('1220', 'Aggregate function')
('1237', 'Agitator (device)')
('1246', 'Ahmad al-Qalqashandi')
('1247', 'Ahmed Zewail')
('1252', 'Aiptek Hyperpen')
('1260', 'Air Quality Modeling Group')
('1262', 'Air cooling')
('1267', 'Air source heat pumps')
('1269', 'Airbag lifting system')
('1276', 'Aircrack-ng')
('1292', 'Akaike information criterion')
('1300', 'Akiko (Amiga)')
('1336', 'Albatros (joystick)')
('1337', 'Albert F. Case, Jr.')
('1338', 'Albert Gonzalez')
('1346', 'Alberto O. Mendelzon')
('1352', 'Alchemy Catalyst')
('1355', 'Aldiko')
('1361', 'Aleksandar Lazarevic')
('1367', 'Alethic modality')
('1370', 'Alex (software)')
('1374', 'Alex Martelli')
('1379', 'Alexander Brudno')
('1389', 'Alexander Petrov (hacker)')
('1402', 'Alexey Pajitnov')
('1422', 'Algebraic Petri nets')
('1442', 'Algebraic topology')
('1457', 'Algorithmic game theory')
('1459', 'Algorithmic information theory')
('1463', 'Algorithmic skeleton')
('1468', 'Alhambra (video game)')
('1472', 'Alias (command)')
('1474', 'Alias analysis')
('1481', 'Alice and Bob')
('1483', 'Alick Glennie')
('1487', 'Alien thread')
('1492', 'Alisols')
('1503', 'Allan Alcorn')
('1509', 'Allan Wells')
('1510', 'Allative case')
('1514', 'Allegro library')
('1516', 'Allele frequency net database')
('1556', 'AlphaWorks')
('1576', 'Alpine Club classification of the Eastern Alps')
('1593', 'Alternating finite automaton')
('1598', 'Alternative hypothesis')
('1601', 'Alternative splicing and transcript diversity database')
('1603', 'Alternative terms for free software')
('1608', 'Altix')
('1620', 'AmBX')
('1624', 'Amar Gupta')
('1628', 'Amazon Associates Web Service')
('1673', 'American Computer Science League')
('1685', 'American National Corpus')
('1687', 'American Revolution')
('1702', 'American flag sort')
('1708', 'AmiZilla')
('1709', 'Ami Harten')
('1713', 'Amiga')
('1714', 'AmigaBASIC')
('1717', 'AmigaOS 4')
('1719', 'AmigaOne')
('1728', 'Amiga Internet and communications software')
('1743', 'Amit Sheth')
('1758', 'Amplitude amplification')
('1764', 'Amy Hennig')
('1769', 'An Urchin in the Storm')
('1776', 'Analog Protection System')
('1787', 'Analogical models')
('1795', 'Analysis on fractals')
('1810', 'Analytical Profile Index')
('1813', 'Analytical mechanics')
('1816', 'Analytical stereoplotter')
('1819', 'Anand Lal Shimpi')
('1824', 'Anatoly Shalyto')
('1825', 'Anatomy of an Epidemic')
('1827', 'Ancient Egyptian multiplication')
('1845', 'Andrew Blake (scientist)')
('1847', 'Andrew Braybrook')
('1853', 'Andrew Donald Booth')
('1863', 'Andrew Ng')
('1874', 'Andrey Kolmogorov')
('1877', 'Andris Ambainis')
('1878', 'Android (operating system)')
('1881', 'Android science')
('1884', 'Andrzej Trybulec')
('1886', 'Andy Blumenthal')
('1888', 'Andy Gavin')
('1890', 'Andy Hertzfeld')
('1896', 'Andy the Messenger Robot (Many Other Functions)')
('1905', 'Angela Orebaugh')
('1926', 'Anisotropic filtering')
('1936', 'Anne Westfall')
('1939', 'Annotated reference manual')
('1948', 'Anomaly-based intrusion detection system')
('1949', 'Anomaly detection')
('1954', 'Anonymizer (company)')
('1956', 'Anonymous P2P')
('1959', 'Anonymous internet banking')
('1967', 'Ansford School')
('1969', 'Answer set programming')
('1986', 'Anthrozoology')
('1990', 'Anti-aliasing filter')
('1993', 'Anti-gravity')
('1995', 'Anti-moose mat')
('2008', 'Anticommutativity')
('2019', 'Antiquarian science books')
('2024', 'Antisymmetry')
('2025', 'Antithetic variates')
('2038', 'Any-angle path planning')
('2042', 'AnyLogic')
('2046', 'Anyonic Lie algebra')
('2059', 'Apache Cassandra')
('2067', 'Apache License')
('2086', 'Aperiodic finite state automaton')
('2135', 'Apple I')
('2140', 'Apple II series')
('2147', 'Apple Media Tool')
('2165', 'Apple Writer')
('2169', 'Applegeeks')
('2187', 'Application Interface Specification')
('2207', 'Application programming interface key')
('2212', 'Application service automation')
('2254', 'Apricot Portable')
('2258', 'Aptosid')
('2259', 'Aptronym')
('2284', 'Arbormon')
('2294', 'Arc pair grammar')
('2296', 'Arcade (film)')
('2304', 'Archailect')
('2309', 'ArchiCAD')
('2311', 'ArchiMate')
('2320', 'Architectural animation')
('2322', 'Architectural metals')
('2327', 'Architectural theory')
('2331', 'Architecture Driven Modernization')
('2354', 'Arena (web browser)')
('2357', 'Argo (ROV)')
('2365', 'Ariane 5 Flight 501')
('2371', 'Arithmetic dynamics')
('2380', 'Arithmetic variety')
('2386', 'Arkamys')
('2401', 'Arnetminer')
('2404', 'Arnold Geulincx')
('2408', 'Aronszajn tree')
('2409', 'AroundMe')
('2411', 'Arptables')
('2412', 'Arpwatch')
('2416', 'Array controller based encryption')
('2425', 'Ars Technica')
('2435', 'Arthur (operating system)')
('2442', 'Article (publishing)')
('2443', 'ArticlesBase')
('2444', 'Articulated body pose estimation')
('2455', 'Artificial Intelligence Applications Institute')
('2459', 'Artificial Life (journal)')
('2478', 'Artificial life organizations')
('2480', 'Artificial neuron')
('2482', 'Artificial psychology')
('2505', 'Ashampoo Magical Defrag')
('2507', 'Ashlar')
('2516', 'Asian American studies')
('2528', 'AspicDB')
('2534', 'Assembly modelling')
('2537', 'Assessment Open Service Interface Definition')
('2544', 'Association Electronique Libre')
('2551', 'Association for History and Computing')
('2579', 'Association of Professional Recording Services')
('2583', 'Association of Synchronous Data Formats')
('2590', 'Associative Entities')
('2621', 'Asus routers')
('2624', 'Asymptote')
('2628', 'Asymptotic expansion')
('2644', 'At Ease')
('2647', 'Atari (Jakks Pacific)')
('2657', 'Ataxx')
('2673', 'Atmometer')
('2676', 'Atmospheric beast')
('2690', 'Atomicity (database systems)')
('2696', 'Attachments (TV series)')
('2697', 'Attack (computer)')
('2703', 'Attenda')
('2715', 'Attribute clash')
('2722', 'Attributor')
('2723', 'Attrition (website)')
('2728', 'Auction theory')
('2738', 'Audio Engineering Society')
('2743', 'Audio and video interfaces and connectors')
('2766', 'Aureal Vortex')
('2784', 'Australian Partnership for Advanced Computing')
('2789', 'AuthIP')
('2794', 'Authentication Open Service Interface Definition')
('2798', 'Author Domain Signing Practices')
('2799', 'Author function')
('2817', 'AutoFetch')
('2818', 'AutoIt')
('2824', 'AutoRun')
('2825', 'AutoShade')
('2827', 'AutoTURN')
('2829', 'Autocatalytic set')
('2849', 'Autodetection')
('2864', 'Automated Lip Reading')
('2874', 'Automated exception handling')
('2878', 'Automated information systems security')
('2886', 'Automated teller machine')
('2901', 'Automatic document feeder')
('2916', 'Automatic system recovery')
('2920', 'Automatic waste container')
('2922', 'Automatically switched optical network')
('2923', 'Automaticity')
('2931', 'Automator (software)')
('2932', 'Automorphic form')
('2948', 'Autonomous research robot')
('2958', 'Autopoiesis')
